year,player_id,guid,player_name,position,pos_abbr,school,team_name,team_abbr,weight,height,ovr_rk,pos_rk,grade,link,player_image
2004,7904,1a85890d97d20a9e574c23c2726fba5e,RAN CARTHON,Running Back,RB,Florida,Gators,FLA,215,71.375,168,13,59,http://insider.espn.com/nfl/draft/player/_/id/7904,NA
2004,8013,11f93a62d2ac18aa324988a94787b71f,MAURICE BROWN,Wide Receiver,WR,NA,NA,NA,219,72.25,169,23,59,http://insider.espn.com/nfl/draft/player/_/id/8013,NA
2004,7419,e24673ff6d94cc3a9ce8ba9387443c9f,ARNOLD PARKER,Safety,S,NA,NA,NA,214,74.125,170,13,58,http://insider.espn.com/nfl/draft/player/_/id/7419,NA
2004,7579,bb599428ab4c9f13ede52cbd7f77d8db,RYAN FOWLER,Inside Linebacker,ILB,NA,NA,NA,250,75.125,171,8,58,http://insider.espn.com/nfl/draft/player/_/id/7579,NA
2004,8011,edb47f409c00ee2377af181e93f9b364,JUSTIN JENKINS,Wide Receiver,WR,Mississippi State,Bulldogs,MSST,210,71.375,173,24,58,http://insider.espn.com/nfl/draft/player/_/id/8011,NA
2004,7413,2cf46b7a0d77b40b7a0a6f5d0ef2f77c,BRANDON EVERAGE,Safety,S,Oklahoma,Sooners,OKLA,194,71.625,176,14,57,http://insider.espn.com/nfl/draft/player/_/id/7413,NA
2004,7493,c98b447f14cbe59f3d33773d614b847d,JORDAN CARSTENS,Defensive Tackle,DT,Iowa State,Cyclones,ISU,305,77.5,177,19,57,http://insider.espn.com/nfl/draft/player/_/id/7493,NA
2004,7852,f2f3ff0cc8f024b925df2a91713ab8c1,JARED LORENZEN,Quarterback,QB,Kentucky,Wildcats,UK,288,75.375,179,10,57,http://insider.espn.com/nfl/draft/player/_/id/7852,NA
2004,8032,13062b04f1f44a39cd011888cc6399f2,TERRANCE COPPER,Wide Receiver,WR,NA,NA,NA,204,71.125,193,26,55,http://insider.espn.com/nfl/draft/player/_/id/8032,NA
2004,7900,ba648a3c9403c08cf6857780eaa42f7b,FRED RUSSELL,Running Back,RB,NA,NA,NA,195,67,197,15,54,http://insider.espn.com/nfl/draft/player/_/id/7900,NA
2004,7644,225d264f29096c54d52c17b007fb00e7,JOE TATE,Offensive Guard,OG,NA,NA,NA,291,76.25,202,12,53,http://insider.espn.com/nfl/draft/player/_/id/7644,NA
2004,7570,8c1c16d84dc75829d5d706245c7d8971,BRYAN HICKMAN,Inside Linebacker,ILB,Kansas State,Wildcats,KSU,230,72.625,203,15,53,http://insider.espn.com/nfl/draft/player/_/id/7570,NA
2004,8010,318bded210425918ec1584e86d1c0a34,BRANDON (BJ) JOHNSON,Wide Receiver,WR,Texas,Longhorns,TEX,207,71.375,204,28,53,http://insider.espn.com/nfl/draft/player/_/id/8010,NA
2004,7901,7aa85210f16e5aeab30085947d1c0bf9,JASON GEATHERS,Running Back,RB,Miami,Hurricanes,MIAMI,203,74,207,16,52,http://insider.espn.com/nfl/draft/player/_/id/7901,NA
2004,7287,aae81eb1ed1c60ef0c7765029b1c1ad1,JABARI GREER,Cornerback,CB,Tennessee,Volunteers,TENN,178,70.125,218,22,49,http://insider.espn.com/nfl/draft/player/_/id/7287,NA
2004,7429,f7c3c63d0e877da6cb25e2b63123bc8a,BRETT HUDSON,Safety,S,NA,NA,NA,218,73.875,219,19,49,http://insider.espn.com/nfl/draft/player/_/id/7429,NA
2004,7500,NA,AHMAAD CHILDRESS,Defensive Tackle,DT,Alabama,Crimson Tide,ALA,336,77.375,220,22,49,http://insider.espn.com/nfl/draft/player/_/id/7500,NA
2004,7547,769b16a6a45c0891ec8aa70bc50c126f,TRAVIS WILSON,Fullback,FB,Kansas State,Wildcats,KSU,256,75.5,221,4,49,http://insider.espn.com/nfl/draft/player/_/id/7547,NA
