season,player_id,guid,player_name,age,school_abbr,total_qbr,points_added,qb_plays,total_epa,pass,run,exp_sack,penalty,raw_qbr,sack
2004,123483,aa5b567ab62f8b02b3633b7cec877ba7,Jon Beutjer,24,ILL,56.2,-2.1,223,7.2,7.8,0.5,-2.7,3,47.6,-3.9
2004,146835,4abce30259baf165f4e2704203b66ab0,Syvelle Newton,23,SC,55.4,0.6,241,10.3,14.8,5.5,-9.2,-0.9,50.6,-9.2
2004,136814,be68a7f659ad7fc36910ba715bb57f9a,Jordan Palmer,30,UTEP,54.7,14.9,447,30.5,39.1,-2,-10.8,5.6,58.5,-12.1
2004,120888,2d388105a4991d69f02f031db04bdaa0,Paul Pinegar,24,FRES,54.6,6.8,377,19.7,19.8,8.5,-9.4,0.7,54.7,-9.4
2004,116481,a38694ce065a743533ae695b8374350e,Justin Holland,23,CSU,54.4,1.2,231,9.4,13.7,0.1,-5.4,1.6,51.4,-5.9
2004,144289,e5f86635c6d3a47012ebdf50faf0b198,Joel Klatt,24,COLO,54.2,-14.7,454,6.3,21.9,-0.3,-12,-1.7,41.6,-13.6
2004,107836,77545560e03f01ed20a4fd8db2b8060f,Buck Pierce,23,NMSU,53.9,23.7,420,36.1,48.1,2,-13.6,0.3,64.3,-14.8
2004,116199,eebeb78e159d30b95fb9844468b761c8,Joshua Cribbs,31,KENT,53,33.6,538,48.5,33.7,34.4,-18.1,1.1,65.7,-20.7
2004,134032,22380e4edae58fb51088df9a0087b5bc,Lester Ricard,25,TULN,51.6,13.5,292,22.8,32.6,-0.1,-8.3,0,61.8,-9.3
2004,133808,af64474d2875e07eb4310c2b2da798a5,Bryan Cupito,24,MINN,50,-1.7,332,11.2,12.8,2.6,-3.7,-0.6,48.6,-3.7
2004,116993,10b5eeec5fa8a229c3e5ba5bb9162248,Brett Basanez,23,NW,49,-7.7,600,18.7,20.4,2,-5.3,1.6,46.7,-5.3
2004,133653,be52cc61f7dc4baef0708782bd7abafb,Justin Zwick,25,OSU,48.8,-8,249,3.6,8.6,0.5,-8,3.8,41.7,-9.4
2004,133680,99339cd76993b1402c0147e265c6f628,John Stocco,25,WISC,48.6,-8.6,416,9.4,22.2,-3.8,-10.5,4.3,44.7,-13.5
2004,128371,b178cd1a8664fa5c2c718a6e34b95f1f,Corey Bramlet,23,WYO,46.9,-10.8,505,11,25.2,2.9,-19.3,2.7,44.5,-19.9
2004,160898,84acd5b740f360ac73a89b96c0bfe022,Chad Henne,23,MICH,46.8,-8.1,489,14,34.8,-1.8,-19,0.5,45.7,-20.1
2004,136229,868694d761c351c89d91dc916f5d1d3c,Jerry Babb,25,ULL,46.5,17.1,531,38.5,28.1,22.5,-12.1,0.2,58.3,-12.1
2004,145781,74f64c6253cb85927468c301634feba3,Reggie Ball,24,GT,46.3,-26.7,498,-2.4,5.8,3.4,-15.8,4.3,36.4,-15.9
2004,137101,d49f2d3bb0198e7b69f9fbfaa3c94792,Trent Edwards,30,STAN,46.3,-19,365,-1.3,11.8,1.1,-14.2,1.3,36.8,-15.4
2004,164361,83c04583eb690805d61374ac680fed82,Shaun Carney,23,AFA,46.3,-11.4,675,17.6,24.7,-2.2,-6.7,1.5,45.6,-6.7
2004,120824,7215472e7ce0df766e99705689eed252,Matt Kubik,23,LT,46,-10.9,347,4.5,11.5,7.8,-13,-0.4,41.9,-14.5
2004,107218,47aaa5b0e866491397f138a32a45b43b,Matt LoVecchio,23,IU,45.9,-2.3,409,14.4,22.3,-0.2,-11.7,3.7,48.6,-11.7
2004,120165,4154f0d05552b33117d3ac80e8bbecba,Brad Smith,31,MIZ,45.4,-24.7,568,2.2,5.2,9.1,-11.8,0.2,38.9,-12.3
2004,133724,35006fe08e7445934232b15bcbe172f7,Allen Webb,23,KSU,45.3,-15.9,250,-3.2,1.8,0.3,-6,0.8,34.1,-6
2004,116397,6d714a69cf60c6f4125390b100361302,Josh Betts,24,M-OH,44.9,3.4,589,26.2,41.9,1.4,-16,2.3,51.5,-19.5
2004,152491,fc7e07a15f78095e6478ff18837c6c1c,Walter Washington,23,TEM,44.6,-1.1,583,18.6,13.3,23,-15.5,-0.8,49.5,-16.9
2004,119891,7671cffe3932ddf5535d66b29b468983,Gino Guidugli,22,CIN,44.5,8.2,419,24,32.7,-5.1,-5.1,1.3,55.1,-5.1
2004,133570,9099493267cd41e19069827be3fff717,Jeff Rowe,24,NEV,44.5,2.3,524,20.5,35,0.4,-14.1,1.4,51.2,-15.9
2004,148066,395352b5282afb79a4e3712a4fb4fbc7,John Beck,27,BYU,44.2,-16.1,467,5.7,25.3,-4.2,-17.5,2.6,41.1,-18
2004,145404,3f0b921539819f666c71d6a9ce3ec502,Bret Meyer,23,ISU,44.2,-19.7,470,2.6,21,-3.7,-16.2,2.3,39.3,-17
2004,102203,8c1f48a894b3973eec7212974d0029ee,Charlie Frye,23,AKR,43.8,3.8,488,22.1,48.8,-7.2,-20.9,1.9,52,-21.3
2004,133963,e0b270b6e28a66451b594ad2cef89f58,Ethan Flatt,23,MISS,43.2,-10,270,2.6,14.5,-4.4,-6.6,0.6,40.5,-8.1
2004,135377,ab450249a8c081f246097c8bcc5d0dab,Ryan Hart,22,RUTG,42.4,4.7,546,25.6,40.7,-2.2,-11.7,1.2,52.2,-14.1
2004,145238,23e355f6b5fe116fc62ece4637aebf2f,Alex Brink,23,WSU,42.3,-21.9,271,-6.4,9,-6.7,-9.8,3.5,30.1,-12
